n,seed,bw,lifo_err,fifo_err,delta_err,wmin,wmax
20,3,101,1,0,0,1,100
20,3,102,1,0,0,1,100
20,3,103,1,0,0,1,100
20,3,104,1,0,0,1,100
20,3,105,1,0,0,1,100
20,3,106,1,0,0,1,100
20,3,107,1,0,0,1,100
20,3,108,1,0,0,1,100
20,3,109,1,0,0,1,100
20,3,110,1,1,0,1,100
20,3,111,1,1,0,1,100
20,3,112,1,1,0,1,100
20,3,113,1,1,0,1,100
20,3,114,1,1,0,1,100
20,3,115,1,1,0,1,100
20,3,116,1,1,0,1,100
20,3,117,1,1,0,1,100
20,3,118,1,1,0,1,100
20,3,119,1,1,0,1,100
20,3,120,1,1,0,1,100
20,3,121,1,1,0,1,100
20,3,122,1,1,0,1,100
20,3,123,1,1,0,1,100
20,3,124,1,1,0,1,100
20,3,125,1,1,0,1,100
20,3,126,1,1,0,1,100
20,3,127,1,1,0,1,100
20,3,128,1,1,0,1,100
20,3,129,1,1,0,1,100
20,3,130,1,1,0,1,100
20,3,131,1,1,0,1,100
20,3,132,1,1,0,1,100
20,3,133,1,1,0,1,100
20,3,134,1,1,0,1,100
20,3,135,1,1,0,1,100
20,3,136,1,1,0,1,100
20,3,137,1,1,0,1,100
20,3,138,1,1,0,1,100
20,3,139,1,1,0,1,100
20,3,140,1,1,0,1,100
20,3,141,1,1,0,1,100
20,3,142,1,1,0,1,100
20,3,143,1,0,0,1,100
20,3,144,1,0,0,1,100
20,3,145,1,0,0,1,100
20,3,146,1,0,0,1,100
20,3,147,1,0,0,1,100
20,3,148,1,0,0,1,100
20,3,149,1,0,0,1,100
20,3,150,1,0,0,1,100
20,4,2,0,0,0,1,100
20,4,3,0,0,0,1,100
20,4,4,0,0,0,1,100
20,4,5,0,0,0,1,100
20,4,6,0,0,0,1,100
20,4,7,0,0,0,1,100
20,4,8,0,0,0,1,100
20,4,9,0,0,0,1,100
20,4,10,0,0,0,1,100
20,4,11,0,0,0,1,100
20,4,12,0,0,0,1,100
20,4,13,0,0,0,1,100
20,4,14,0,0,0,1,100
20,4,15,0,0,0,1,100
20,4,16,0,0,0,1,100
20,4,17,0,0,0,1,100
20,4,18,0,0,0,1,100
20,4,19,1,0,0,1,100
20,4,20,0,0,0,1,100
20,4,21,0,0,0,1,100
20,4,22,0,0,0,1,100
20,4,23,0,0,0,1,100
20,4,24,0,0,0,1,100
20,4,25,1,1,0,1,100
20,4,26,1,1,0,1,100
20,4,27,1,0,0,1,100
20,4,28,1,0,0,1,100
20,4,29,1,0,0,1,100
20,4,30,1,0,0,1,100
20,4,31,1,0,0,1,100
20,4,32,0,0,0,1,100
20,4,33,0,1,0,1,100
20,4,34,0,1,0,1,100
20,4,35,0,1,0,1,100
20,4,36,0,1,0,1,100
20,4,37,1,1,0,1,100
20,4,38,1,1,0,1,100
20,4,39,1,1,0,1,100
20,4,40,1,0,0,1,100
20,4,41,1,0,0,1,100
20,4,42,1,0,0,1,100
20,4,43,1,0,0,1,100
20,4,44,1,0,0,1,100
20,4,45,1,0,0,1,100
20,4,46,1,0,0,1,100
20,4,47,1,0,0,1,100
20,4,48,1,0,0,1,100
20,4,49,1,0,0,1,100
20,4,50,1,1,0,1,100
20,4,51,1,1,0,1,100
20,4,52,1,1,0,1,100
20,4,53,1,1,0,1,100
20,4,54,1,1,0,1,100
20,4,55,1,1,0,1,100
20,4,56,1,1,0,1,100
20,4,57,1,1,0,1,100
20,4,58,1,1,0,1,100
20,4,59,1,1,0,1,100
20,4,60,1,1,0,1,100
20,4,61,1,1,0,1,100
20,4,62,1,1,0,1,100
20,4,63,1,1,0,1,100
20,4,64,1,1,0,1,100
20,4,65,1,1,0,1,100
20,4,66,1,1,0,1,100
20,4,67,1,1,0,1,100
20,4,68,1,1,0,1,100
20,4,69,1,1,0,1,100
20,4,70,1,1,0,1,100
20,4,71,1,1,0,1,100
20,4,72,1,1,0,1,100
20,4,73,1,1,0,1,100
20,4,74,1,1,0,1,100
20,4,75,1,1,0,1,100
20,4,76,1,1,0,1,100
20,4,77,1,1,0,1,100
